Year,Series,Product,Units,Unit multiplier,Observation status,Value
2015,Tourism direct GDP growth rate (%),Cultural activities,Percentage change (%),Units,Normal Value,12.216290338854295
2015,Tourism direct GDP growth rate (%),Sport and recreation activities,Percentage change (%),Units,Normal Value,10.678275707307279
2015,Tourism direct GDP growth rate (%),Exhibitions & Conferences etc.,Percentage change (%),Units,Normal Value,4.248769493689477
2015,Tourism direct GDP growth rate (%),Other consumption products,Percentage change (%),Units,Normal Value,16.049378352423936
2015,Tourism direct GDP growth rate (%),,Percentage change (%),Units,Normal Value,11.678708808907023
2016,Tourism direct GDP growth rate (%),Accommodation services for visitors,Percentage change (%),Units,Normal Value,22.194151593896777
2016,Tourism direct GDP growth rate (%),Food and beverage serving activities,Percentage change (%),Units,Normal Value,1.0297897198449535
2016,Tourism direct GDP growth rate (%),Railway passenger transport services,Percentage change (%),Units,Normal Value,5.374324245500413
2016,Tourism direct GDP growth rate (%),Road passenger transport services,Percentage change (%),Units,Normal Value,-30.086158847617533
2016,Tourism direct GDP growth rate (%),Water passenger transport services,Percentage change (%),Units,Normal Value,40.919286966304924
2016,Tourism direct GDP growth rate (%),Air passenger transport services,Percentage change (%),Units,Normal Value,-86.56470334973878
2016,Tourism direct GDP growth rate (%),Transport equipment rental services,Percentage change (%),Units,Normal Value,98.76948356658558
2016,Tourism direct GDP growth rate (%),Travel agencies and other reservation services,Percentage change (%),Units,Normal Value,-85.57727570453619
2016,Tourism direct GDP growth rate (%),Cultural activities,Percentage change (%),Units,Normal Value,36.29962382428019
2016,Tourism direct GDP growth rate (%),Sport and recreation activities,Percentage change (%),Units,Normal Value,-21.52859928219409
2016,Tourism direct GDP growth rate (%),Exhibitions & Conferences etc.,Percentage change (%),Units,Normal Value,77.18024493469052
2016,Tourism direct GDP growth rate (%),Other consumption products,Percentage change (%),Units,Normal Value,-3.22489557769191
2016,Tourism direct GDP growth rate (%),,Percentage change (%),Units,Normal Value,0.7471078726985275
